"INF06_01","INF06_02","INF06_03","INF24_01","INF24_02","INF24_03","INF48_01","INF48_02","INF48_03","CON06_01","CON06_02","CON06_03","CON24_01","CON24_02","CON24_03","CON48_01","CON48_02","CON48_03"
3693,3656,3656,3645,3219,3157,3933,4815,4142,3740,3517,3517,3789,3651,3981,2580,3030,3320
1111,0,0,0,814,0,463,1121,1008,465,1087,1087,0,1022,0,0,0,1081
0,0,0,121,838,533,848,617,561,1151,1653,1653,737,1120,1335,1088,1393,1287
537,500,500,466,419,403,771,404,419,415,526,526,1032,437,360,400,479,444
360,410,410,375,250,317,280,181,292,352,379,379,382,416,391,407,456,372
3275,3772,3772,2450,2157,1649,2636,2852,2853,3534,3291,3291,2280,2643,2450,1824,2034,1745
0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
0,1386,1386,0,1017,699,1074,0,0,0,1363,1363,0,1138,0,0,0,967
242,370,370,223,388,193,175,338,397,687,461,461,466,372,481,598,302,597
70,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,77,1157
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
8496,7840,7840,11677,9963,9484,8372,8786,6185,7584,8113,8113,8015,10033,10006,6790,9325,7648
0,0,0,0,118,439,0,0,0,0,0,0,0,0,0,0,0,0
1565,835,835,532,781,667,586,621,872,1016,461,461,0,0,0,0,879,0
146,168,168,20,7,0,0,0,0,0,0,0,264,0,0,115,0,0
132,0,0,103,0,0,0,0,0,0,0,0,0,42,0,0,0,0
553,567,567,598,755,717,544,453,521,620,641,641,847,294,410,227,936,860
0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0
99,220,220,279,249,0,307,104,100,229,305,305,277,330,187,140,311,293
0,0,0,8,0,40,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,2,0,156,0,0,0,26
0,0,0,6,0,0,0,0,0,0,6,6,0,7,0,0,0,3
4,1302,1302,570,926,25,687,0,441,904,1255,1255,1010,556,1018,228,281,0
0,73,73,155,0,0,39,0,0,54,0,0,0,0,0,0,0,0
3189,3023,3023,2391,2502,2829,2156,2307,2322,3323,3500,3500,2580,1926,2917,2800,2618,2391
0,0,0,0,0,166,0,72,204,256,0,0,160,205,169,91,217,197
2525,2575,2575,1963,1784,1874,1559,1664,1901,2262,2510,2510,1877,1781,2063,1348,1458,1199
586,270,270,1465,1503,1329,1026,985,1053,474,630,630,1182,1069,977,1698,1631,1617
0,0,0,1748,0,1297,1602,368,1006,0,1508,1508,1626,1591,0,1067,0,1481
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,311,310,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,16,0,0,0,0,7,7,0,0,0,0,0,0
147,453,453,1038,332,1394,802,1417,95,380,572,572,1305,183,1114,88,0,995
7536,1168,1168,1046,319,503,295,680,680,0,786,786,385,688,582,395,135,3557
618,592,592,577,323,516,447,508,431,648,717,717,419,471,433,336,404,389
0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0
16,279,279,286,511,0,0,811,366,0,0,0,0,0,0,269,0,0
148,149,149,116,0,0,143,121,113,103,0,0,0,0,143,160,0,0
0,236,236,140,333,481,655,406,427,0,420,420,0,1098,362,499,660,0
957,1282,1282,1870,2222,2062,1757,1351,1479,1401,1443,1443,2416,1577,2370,1234,2203,2272
2609,3772,3772,3558,2954,621,1693,4481,0,15394,1264,1264,3995,2241,1267,2814,1868,1803
0,0,0,201,123,100,180,0,0,0,0,0,0,55,0,0,160,105
1612,1930,1930,15,60,1707,0,1235,0,0,0,0,0,0,1709,0,150,0
0,0,0,989,309,0,339,0,0,0,598,598,0,0,0,0,0,0
0,0,0,10,0,0,0,0,0,288,413,413,53,295,293,0,0,224
38,0,0,54,0,0,0,0,0,526,0,0,66,0,0,0,0,0
0,0,0,0,0,257,0,17,530,0,0,0,0,0,0,0,1768,0
44,40,40,83,41,0,0,150,51,0,0,0,0,10,0,0,0,69
4,0,0,138,0,0,0,0,0,0,58,58,119,0,0,79,0,115
189,0,0,9,0,0,0,0,352,0,0,0,0,0,0,41,0,0
0,97,97,0,0,71,93,0,0,0,0,0,69,0,0,0,0,82
1435,1752,1752,0,1003,1555,856,2240,1949,1521,1179,1179,3036,1539,1797,0,1723,1783
0,0,0,630,0,632,544,0,556,0,572,572,672,625,698,773,195,670
0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0
0,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0
348,308,308,332,229,243,273,420,406,292,338,338,317,242,377,0,271,145
0,527,527,1067,1062,1176,574,748,403,732,735,735,691,0,0,1448,0,1042
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,297,297,172,0,431,202,371,4,676,698,698,245,287,448,157,460,244
0,0,0,0,0,13,0,5,0,0,177,177,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0
0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0
75,117,117,67,57,47,71,89,108,78,0,0,74,82,0,56,48,59
1229,3182,3182,15,1933,3727,2382,3814,4357,3613,3364,3364,4000,0,0,0,4362,4109
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,556,556,94,0,0,0,0,0,458,0,0,0,0,0,0,0,0
341,293,293,0,131,313,0,415,207,0,244,244,540,183,0,158,390,175
0,0,0,0,82,44,44,44,0,0,0,0,80,0,0,0,0,55
0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0
64,87,87,0,0,0,51,0,0,0,0,0,54,56,0,0,0,0
0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
2083,1399,1399,3851,1534,0,2783,3536,3771,2483,0,0,2356,3602,3260,2149,3546,2963
0,0,0,0,5015,0,0,0,0,0,0,0,0,0,0,0,0,12627
0,7853,7853,4252,0,6300,3712,3689,0,0,7434,7434,6076,6131,8569,7048,4542,0
3659,3587,3587,3726,3960,0,2164,1577,0,0,3868,3868,0,3829,4587,3331,0,4171
0,0,0,0,0,3007,0,274,0,3371,0,0,0,674,0,0,0,0
0,0,0,2261,1644,0,3416,2923,0,0,5448,5448,3294,3172,0,0,3823,3687
0,0,0,364,0,0,0,0,0,90,0,0,0,0,0,0,128,0
182,443,443,0,499,288,0,241,0,0,106,106,356,489,0,931,607,417
798,1375,1375,2004,0,2184,1015,937,0,0,0,0,0,1105,0,0,352,0
0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,65,65,0,47,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
946,387,387,592,827,308,974,3085,0,0,707,707,228,0,94,112,151,71
640,450,450,1248,485,560,645,444,724,938,412,412,631,459,270,301,156,409
188,191,191,0,72,0,0,73,151,100,146,146,0,50,0,0,0,48
1157,576,576,367,303,1896,1624,1460,395,626,5231,5231,399,384,1141,1440,1708,0
0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0
0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1383,966,966,459,714,757,1134,814,642,1274,1805,1805,938,814,0,4,655,642
339,264,264,68,136,95,97,223,104,0,502,502,58,141,203,330,175,282
336,103,103,481,477,531,204,83,126,177,113,113,451,550,378,152,555,308
0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
1407,963,963,1205,404,708,1588,620,1485,1453,1569,1569,1145,1355,966,1531,184,296
